CrimeDataExport_2_view_8487712380991318488
OBJECTID,Report Number,OffID,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,CAD ID,Report ID,x,y
122139,231522061,50870529664,6/2/2023 6:00:46 AM,6/1/2023 10:00:00 PM,6/2/2023 1:00:00 AM,Thursday,5,3,308,930 NEW TOWN CIR SE,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.359726,33.708684,Thomasville Heights,Z,1,Part I,,46ab1980-3379-4d1f-927e-cb80649baf38,,,-84.359726,33.7086840000001
122140,231538004,50870540084,6/2/2023 6:09:01 AM,6/2/2023 4:50:00 AM,6/2/2023 4:50:00 AM,Friday,6,7,703,11700 SPINE RD,Air/ Bus/ Train Terminal,35A,Drug/Narcotic Violations,SOCIETY,N,,,Morning Watch,-84.429698,33.637475,,,,Part II,,0550906c-1417-4a55-b57e-f5024075e9bd,,,-84.429698,33.6374750000001
122148,231530016,50873382601,6/2/2023 6:12:17 AM,6/2/2023 4:06:00 AM,6/2/2023 5:00:00 AM,Friday,6,4,410,CAMPBELLTON RD SW / DELOWE DR SW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Morning Watch,-84.45745,33.70642,Campbellton Road,R,11,Part II,,ee6be811-2493-4a5d-a987-9b740b1b344b,,,-84.4574499999999,33.70642
122141,231522145,50871206687,6/2/2023 7:12:09 AM,6/1/2023 11:40:00 PM,6/2/2023 3:43:00 AM,Thursday,5,6,608,438 MORELAND AVE NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.349179,33.766284,Inman Park,N,2,Part I,,e8e22b3d-5e8e-40fe-a727-203bfbf5e8db,,,-84.3491789999999,33.766284
122143,231522156,50871351122,6/2/2023 8:19:56 AM,6/1/2023 11:45:00 PM,6/3/2023 3:54:00 AM,Thursday,5,6,602,1069 EUCLID AVE NE,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.351974,33.763189,Inman Park,N,2,Part I,,4befd99f-0867-40ff-9d9b-4926d2771036,,,-84.351974,33.7631890000001
122145,231530324,50871460530,6/2/2023 8:58:48 AM,6/2/2023 8:08:00 AM,,Friday,6,5,511,29 PEACHTREE ST SW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Morning Watch,-84.390477,33.753684,Downtown,M,2,Part II,,b8b9c3a3-54e3-407f-9430-1f37c60444c5,,,-84.390477,33.7536840000001
122147,231522085,50873297349,6/2/2023 9:15:43 AM,6/1/2023 7:00:00 PM,6/2/2023 5:30:00 AM,Thursday,5,6,604,375 RALPH MCGILL BLVD NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.375875,33.763679,Old Fourth Ward,M,5,Part I,,e77ac794-ad9e-43be-adae-30756eda9d2f,,,-84.375875,33.763679
122144,231530013,50871611624,6/2/2023 9:20:27 AM,6/2/2023 2:20:00 AM,6/2/2023 3:45:00 AM,Thursday,5,6,602,99 KROG ST NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.364038,33.756583,Inman Park,N,2,Part I,,248a47d8-acad-4efe-b0bc-c40b8865d4a6,,,-84.3640379999999,33.756583
122149,231530085,50873301329,6/2/2023 9:58:06 AM,6/2/2023 4:35:00 AM,6/2/2023 4:59:00 AM,Friday,6,6,602,821 RALPH MCGILL BLVD NE,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.359912,33.767267,Poncey-Highland,N,2,Part II,,b2de1666-5156-48ad-8570-8f67e15228e7,,,-84.359912,33.7672670000001
122150,231530364,50873326601,6/2/2023 10:16:49 AM,6/2/2023 10:21:00 AM,6/2/2023 10:21:00 AM,Friday,6,1,111,2952 MIDDLETON RD NW,Residence/ Home / Apartment / Condo,35A,Drug/Narcotic Violations,SOCIETY,N,,,Morning Watch,-84.487632,33.752751,,I,10,Part II,,d7a44ac5-edeb-4fb6-a072-6d9d79f55736,,,-84.487632,33.752751
122151,231530392,50873529700,6/2/2023 11:24:13 AM,6/1/2023 11:00:00 PM,6/2/2023 10:30:00 AM,Thursday,5,6,604,141 HILLIARD ST SE,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.376791,33.750345,Sweet Auburn,M,5,Part I,,b94f3ee7-5fa3-4c9a-a910-e0baf73d8c1e,,,-84.376791,33.750345
122158,231530386,50873651467,6/2/2023 11:24:15 AM,6/2/2023 10:18:00 AM,6/2/2023 10:50:00 AM,Friday,6,5,508,31 BAKER ST NW,Highway/ Road/ Alley/ Street/ Sidewalk,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.388675,33.762574,Downtown,M,2,Part I,,292a7b50-8316-4da2-a448-93182b16bbd2,,,-84.388675,33.762574
122164,231530385,50873667933,6/2/2023 12:03:55 PM,6/2/2023 12:00:00 AM,6/2/2023 9:30:00 AM,Thursday,5,1,104,953 ASHBY GRV SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.418803,33.750092,Ashview Heights,T,4,Part I,,15c1d4d5-74e1-4411-8d2c-62c75578d997,,,-84.418803,33.7500920000001
122163,231530425,50873748015,6/2/2023 12:17:06 PM,6/1/2023 11:00:00 PM,6/2/2023 1:30:00 AM,Thursday,5,6,611,2380 HOSEA L WILLIAMS DR NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.309228,33.751336,East Lake,O,5,Part I,,b0474424-d178-4c97-a27d-019cc442952c,,,-84.309228,33.751336
122159,231535006,50873683616,6/2/2023 12:22:24 PM,5/6/2023 6:50:00 PM,5/23/2023 6:50:00 PM,Saturday,7,2,205,238 S COLONIAL HOMES CIR NW,Cyberspace,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.395908,33.812713,Colonial Homes,C,8,Part II,,f127412d-2c09-40d6-92b9-00186923a8b7,,,-84.395908,33.812713
122156,231535007,50873720090,6/2/2023 12:32:27 PM,5/31/2023 4:44:00 AM,5/31/2023 4:44:00 AM,Wednesday,4,5,503,1075 PEACHTREE ST NE,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.382797,33.78359,Midtown,E,2,Part II,,4eeb1269-f486-413d-985a-776ff17b58e0,,,-84.382797,33.7835900000001
122162,231530046,50921630858,6/2/2023 12:40:40 PM,6/2/2023 2:30:00 AM,6/2/2023 4:15:00 AM,Thursday,5,4,414,3755 CARMIA DR SW,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.509084,33.65687,Princeton Lakes,P,11,Part I,,f537e622-13e0-4805-a26b-d297bfb32765,,,-84.509084,33.65687
122157,231535008,50873759202,6/2/2023 12:42:25 PM,5/21/2023 10:50:00 PM,5/22/2023 12:00:00 AM,Sunday,1,2,210,3393 PEACHTREE RD NE,Shopping Mall,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.362279,33.846108,Lenox,B,7,Part II,,9029f41e-db40-49e1-ae1a-7e10246843f2,,,-84.3622789999999,33.8461080000001
122155,231535009,50921613910,6/2/2023 12:52:22 PM,5/19/2023 11:05:00 AM,5/23/2023 11:05:00 PM,Friday,6,2,206,3300 ROSWELL RD NW,Residence/ Home / Apartment / Condo,26B,Credit Card/Automated Teller Machine Fraud,PROPERTY,N,,,Day Watch,-84.382721,33.844679,South Tuxedo Park,B,8,Part II,,b4d870dd-40f6-4047-8e34-58430a7f7ea4,,,-84.3827209999999,33.844679
122161,231535010,50921614187,6/2/2023 12:52:30 PM,5/23/2023 11:05:00 PM,5/23/2023 11:05:00 PM,Tuesday,3,6,603,220 RENAISSANCE PKWY NE,Other/Unknown,26C,Impersonation,PROPERTY,N,,,Evening Watch,-84.380172,33.769486,Old Fourth Ward,M,2,Part II,,49bd5ebd-6330-4f7d-9850-ebe79ccb88f0,,,-84.380172,33.769486
122160,231535011,50921614780,6/2/2023 12:52:36 PM,5/24/2023 1:15:00 AM,5/24/2023 1:15:00 AM,Tuesday,3,3,302,765 MCDANIEL ST SW,Auto Dealership New/Used,26C,Impersonation,PROPERTY,N,,,Evening Watch,-84.403069,33.732832,Pittsburgh,V,12,Part II,,a3e4884d-6a16-4b49-b171-c7a5eec72777,,,-84.403069,33.732832
122171,231521698,50921687610,6/2/2023 1:02:30 PM,5/31/2023 9:30:00 PM,6/1/2023 10:00:00 PM,Wednesday,4,1,105,1188 JOSEPH E BOONE BLVD NW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.426416,33.763296,Hunter Hills,K,3,Part I,,23212a63-bf0f-4f8a-838b-3ce7a7b88896,,,-84.426416,33.763296
122173,231530493,50921704540,6/2/2023 1:05:43 PM,6/2/2023 6:30:00 AM,6/2/2023 12:16:00 PM,Friday,6,2,204,1908 NOBLE CREEK DR NW,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.425459,33.815157,Cross Creek,C,9,Part II,,f005db3c-ae5e-4de4-abd9-b0ed917c58de,,,-84.425459,33.8151570000001
122165,231535012,50921706341,6/2/2023 1:12:30 PM,5/18/2023 9:20:00 PM,5/30/2023 4:30:00 PM,Thursday,5,2,204,1785 ELLSWORTH INDUSTRIAL BLVD NW,Cyberspace,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.426693,33.80419,Underwood Hills,D,9,Part II,,a2c844fb-3d75-4b90-867f-d64873dca264,,,-84.4266929999999,33.8041900000001
122189,231538042,50922031242,6/2/2023 1:19:14 PM,6/2/2023 11:40:00 AM,6/2/2023 1:06:00 PM,Friday,6,7,706,6000 N TERMINAL PKWY,Air/ Bus/ Train Terminal,23D,Theft From Building,PROPERTY,N,,,Day Watch,-84.444368,33.640311,,,,Part I,,14f8d13c-4a38-4c66-808b-7907fb76a176,,,-84.4443679999999,33.6403110000001
122172,231530394,50921765806,6/2/2023 1:20:38 PM,6/1/2023 3:30:00 PM,6/2/2023 11:30:00 AM,Thursday,5,1,113,1212 JAMES JACKSON PKWY NW,Parking/ Drop Lot/ Garage,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.477455,33.789177,Monroe Heights,G,9,Part I,,c1770ec6-75dd-4e9e-a094-c56660c9a896,,,-84.477455,33.7891770000001
122194,231530394,50922289821,6/2/2023 1:20:38 PM,6/1/2023 3:30:00 PM,6/2/2023 11:30:00 AM,Thursday,5,1,113,1212 JAMES JACKSON PKWY NW,Parking/ Drop Lot/ Garage,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.477455,33.789177,Monroe Heights,G,9,Part I,,a996fa12-6710-4da1-ad17-c5e317120da7,,,-84.477455,33.7891770000001
122166,231535018,50921745282,6/2/2023 1:22:36 PM,1/26/2023 6:05:00 PM,1/26/2023 6:20:00 PM,Thursday,5,2,210,3393 PEACHTREE RD NE,Highway/ Road/ Alley/ Street/ Sidewalk,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.362279,33.846108,Lenox,B,7,Part II,,2419161b-4031-4cb4-b966-1f86e8374713,,,-84.3622789999999,33.8461080000001
122174,231530503,50921847608,6/2/2023 1:31:03 PM,6/1/2023 11:38:00 PM,6/2/2023 11:45:00 PM,Thursday,5,2,211,2537 PIEDMONT RD NE,Commercial/ Office Building,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.365311,33.82746,Lindbergh/Morosgo,B,7,Part II,,417ed5cd-51bd-4f24-98c5-f1d91a2aba04,,,-84.365311,33.82746
122169,231535020,50921786370,6/2/2023 1:32:33 PM,5/24/2023 7:36:00 PM,5/24/2023 10:44:00 PM,Wednesday,4,4,409,2129 CAMPBELLTON RD SW,Specialty Store,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.458511,33.706496,Adams Park,R,11,Part II,,084e87b6-33b5-4342-95a3-234a7287effc,,,-84.458511,33.7064960000001
122170,231535021,50921823525,6/2/2023 1:42:40 PM,5/16/2023 10:45:00 PM,5/18/2023 4:00:00 PM,Tuesday,3,5,507,190 MARIETTA ST NW,Other/Unknown,26B,Credit Card/Automated Teller Machine Fraud,PROPERTY,N,,,Evening Watch,-84.39369,33.75802,Downtown,M,2,Part II,,b96633fd-76f2-4718-9e8d-1797598bf9c4,,,-84.3936899999999,33.75802
122181,231530548,50921923536,6/2/2023 1:52:04 PM,5/25/2023 1:00:00 PM,6/2/2023 1:00:00 PM,Thursday,5,2,204,901 CHATTAHOOCHEE AVE NW,Commercial/ Office Building,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Day Watch,-84.417201,33.800055,Underwood Hills,D,9,Part II,,d8c19a71-1c2d-4e29-84bb-60187cc775c5,,,-84.417201,33.800055
122179,231530526,50921935059,6/2/2023 1:52:29 PM,6/1/2023 11:00:00 PM,6/2/2023 1:00:00 PM,Thursday,5,3,301,645 SHELTON AVE SW,Rental Storage Facility,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.408978,33.73495,Adair Park,V,12,Part I,,cf789de7-896f-4c5d-8345-4822f89bbd00,,,-84.408978,33.73495
122167,231535029,50921873492,6/2/2023 1:52:32 PM,5/19/2023 1:55:00 PM,5/20/2023 3:55:00 AM,Friday,6,2,209,975 STOVALL BLVD NE,Bank - Savings and Loan,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.355726,33.861163,Brookhaven,B,7,Part II,,5c657f47-e78b-4df7-a13c-cc7010e98be1,,,-84.3557259999999,33.861163
122168,231535030,50921874017,6/2/2023 1:52:38 PM,10/24/2018 3:10:00 PM,5/24/2023 3:10:00 PM,Wednesday,4,2,206,3097 MAPLE DR NE,Residence/ Home / Apartment / Condo,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.371468,33.83976,Buckhead Village,B,7,Part II,,1bcf927a-fe56-4de1-96f5-5319d8f872a5,,,-84.3714679999999,33.8397600000001
122180,231530534,50921920974,6/2/2023 1:54:00 PM,6/2/2023 12:55:00 PM,6/2/2023 1:20:00 PM,Friday,6,5,505,160 PONCE DE LEON AVE NE,Service/ Gas Station,23C,Shoplifting,PROPERTY,N,,,Day Watch,-84.38212,33.772816,Midtown,E,2,Part I,,61dba45c-8785-4557-8812-c2eb31593630,,,-84.38212,33.772816
122191,231530534,50921950895,6/2/2023 1:54:00 PM,6/2/2023 12:55:00 PM,6/2/2023 1:30:00 PM,Friday,6,5,505,160 PONCE DE LEON AVE NE,Service/ Gas Station,35B,Drug Equipment Violations,SOCIETY,N,,,Day Watch,-84.38212,33.772816,Midtown,E,2,Part II,,824c73bd-8525-4e84-8329-d91e7349bbcf,,,-84.38212,33.772816
122187,231530577,50921960973,6/2/2023 1:59:25 PM,6/2/2023 1:05:00 PM,6/2/2023 1:05:00 PM,Friday,6,4,411,3160 GREENBRIAR PKWY SW,Commercial/ Office Building,23C,Shoplifting,PROPERTY,N,,,Day Watch,-84.496588,33.686025,Greenbriar,R,11,Part I,,7700b918-c59d-4a2e-8881-f2706678705f,,,-84.496588,33.686025
122192,231530537,50921969946,6/2/2023 2:01:50 PM,6/2/2023 12:55:00 PM,6/2/2023 1:45:00 PM,Friday,6,5,506,683 BANTON DR NW,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Day Watch,-84.414591,33.773455,English Avenue,L,3,Part I,,aa3feaa0-688a-4a20-8d77-24b0e9383161,,,-84.414591,33.7734550000001
122176,231535032,50921926698,6/2/2023 2:02:24 PM,5/21/2023 7:55:00 PM,5/21/2023 8:00:00 PM,Sunday,1,5,503,100 10TH ST NW,Highway/ Road/ Alley/ Street/ Sidewalk,26B,Credit Card/Automated Teller Machine Fraud,PROPERTY,N,,,Evening Watch,-84.390201,33.781071,Midtown,E,2,Part II,,379f2103-cb18-432f-905e-48f3742ef795,,,-84.390201,33.7810710000001
122184,231535034,50921927735,6/2/2023 2:02:31 PM,11/18/2022 7:01:00 PM,11/18/2022 7:26:00 PM,Friday,6,5,509,303 PEACHTREE ST NE,Bank - Savings and Loan,26C,Impersonation,PROPERTY,N,,,Evening Watch,-84.386556,33.762681,Downtown,M,2,Part II,,937a83a2-f74c-492a-bb5b-1192ba2b3543,,,-84.386556,33.762681
122183,231535035,50921930255,6/2/2023 2:02:49 PM,11/1/2022 1:00:00 PM,11/17/2022 2:00:00 PM,Tuesday,3,5,509,303 PEACHTREE ST NE,Bank - Savings and Loan,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.386556,33.762681,Downtown,M,2,Part II,,a4fc5182-7305-4b6e-883c-e536caaecdb0,,,-84.386556,33.762681
122188,231530613,50922041852,6/2/2023 2:08:59 PM,6/1/2023 8:00:00 PM,6/2/2023 1:00:00 PM,Thursday,5,4,406,2350 BEECHER CIR SW,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.46065,33.730804,Beecher Hills,I,10,Part I,,481cedd0-e99c-4213-9634-597f7bcad6f9,,,-84.46065,33.730804
122185,231535036,50921974326,6/2/2023 2:12:21 PM,7/26/2022 6:00:00 PM,5/24/2023 6:00:00 PM,Tuesday,3,5,510,63 PEACHTREE CENTER AVE NE,Other/Unknown,26C,Impersonation,PROPERTY,N,,,Evening Watch,-84.386001,33.756165,Downtown,M,5,Part II,,62e233a9-f778-4e67-88f1-635c78d20c97,,,-84.386001,33.7561650000001
122177,231535037,50921974911,6/2/2023 2:12:28 PM,5/15/2023 7:10:00 PM,5/24/2023 7:10:00 PM,Monday,2,2,201,3201 DOWNWOOD CIR NW,Bank - Savings and Loan,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Evening Watch,-84.425331,33.841707,,C,8,Part II,,dd9c61ee-79a7-4eaf-bb3d-eac148d17508,,,-84.425331,33.841707
122202,231530588,50922696985,6/2/2023 2:15:18 PM,6/2/2023 2:00:00 PM,6/2/2023 3:20:00 PM,Friday,6,5,508,87 FAIRLIE ST NW,Residence/ Home / Apartment / Condo,23D,Theft From Building,PROPERTY,N,,,Day Watch,-84.389932,33.756945,Downtown,M,2,Part I,,b4440dd3-d632-479a-a9cf-59e8de3c5cc2,,,-84.389932,33.756945
122182,231535038,50922022767,6/2/2023 2:22:30 PM,5/20/2019 10:05:00 PM,5/24/2023 10:05:00 PM,Monday,2,6,602,70 SPRUCE ST NE,Residence/ Home / Apartment / Condo,26C,Impersonation,PROPERTY,N,,,Evening Watch,-84.362219,33.755917,Inman Park,N,2,Part II,,f197f183-757e-407f-b372-24849daa1706,,,-84.362219,33.7559170000001
122178,231530485,50922168865,6/2/2023 2:43:20 PM,5/12/2023 6:30:00 PM,6/2/2023 4:00:00 AM,Friday,6,1,114,1471 NASH RD NW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.4894,33.79508,English Park,G,9,Part I,,e4bfa850-6eea-453d-b289-e5f2c2c4a08a,,,-84.4894,33.79508
122227,231530655,50923993100,6/2/2023 3:11:25 PM,6/1/2023 1:54:00 PM,6/2/2023 11:00:00 AM,Thursday,5,2,206,9 DEMOREST AVE NE,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.383505,33.825873,Peachtree Heights East,B,7,Part I,,daae9e81-738c-48b5-958a-17dda93eb4d0,,,-84.383505,33.8258730000001
122197,231530563,50922513937,6/2/2023 3:16:31 PM,6/1/2023 3:30:00 PM,6/1/2023 10:00:00 PM,Thursday,5,5,508,31 BAKER ST NW,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.388675,33.762574,Downtown,M,2,Part I,,0cd22f78-9f5d-4938-84e9-5f479f78dcf1,,,-84.388675,33.762574
122198,231530592,50922413761,6/2/2023 3:23:32 PM,6/1/2023 4:00:00 AM,6/1/2023 4:00:00 AM,Thursday,5,1,114,470 BOLTON RD NW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.510213,33.766896,Old Gordon,H,10,Part II,2,71ca43c8-3ad4-4faf-b91c-d0b493295329,,,-84.510213,33.766896
122196,231521714,50922388047,6/2/2023 3:26:20 PM,6/2/2023 12:00:00 AM,6/2/2023 2:00:00 AM,Thursday,5,4,411,3200 STONE RD SW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.494155,33.669451,Greenbriar,R,11,Part II,,eeff0bf1-7555-413b-b29e-691873e2c6b0,,,-84.494155,33.669451
122201,231530484,50922766904,6/2/2023 3:26:24 PM,6/2/2023 4:30:00 AM,6/2/2023 4:40:00 AM,Friday,6,6,602,828 RALPH MCGILL BLVD NE,Commercial/ Office Building,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.360939,33.767786,Poncey-Highland,N,2,Part I,,8e18ec42-6a5f-472f-9a65-ab7b18058fc4,,,-84.360939,33.7677860000001
122206,231530484,50922849202,6/2/2023 3:26:24 PM,6/2/2023 4:30:00 AM,6/2/2023 4:40:00 AM,Friday,6,6,602,828 RALPH MCGILL BLVD NE,Commercial/ Office Building,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.360939,33.767786,Poncey-Highland,N,2,Part II,,9a69c4fc-7d0d-4ba2-bd60-513429f272ea,,,-84.360939,33.7677860000001
122195,231530775,50922598996,6/2/2023 3:33:04 PM,6/1/2023 3:00:00 PM,6/2/2023 3:00:00 PM,Thursday,5,3,308,1715 THOMASVILLE DR SE,Other/Unknown,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.355167,33.703429,Thomasville Heights,Z,1,Part I,,c9ae36f3-8730-436f-b1fc-8c038d4ff00b,,,-84.3551669999999,33.703429
122199,231530740,50922595676,6/2/2023 3:46:32 PM,6/1/2023 1:54:00 AM,6/2/2023 3:08:00 PM,Wednesday,4,1,105,176 TROY ST NW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.424997,33.760734,Hunter Hills,K,3,Part I,,9f7d6733-674d-498c-915d-67f34babdb64,,,-84.424997,33.7607340000001
122207,231530790,50922640290,6/2/2023 3:51:37 PM,5/26/2023 9:30:00 PM,5/26/2023 9:50:00 PM,Friday,6,2,201,2555 BOLTON RD NW,Commercial/ Office Building,23C,Shoplifting,PROPERTY,N,,,Evening Watch,-84.45188,33.820282,,C,9,Part I,,60eca0ee-2d83-4a50-9610-e4e18898a16c,,,-84.45188,33.8202820000001
